ateneo,ateneo,numcollaborazioni 
NAPOLI Federico II,ROMA La Sapienza,2
NAPOLI Federico II,VERONA,2
PADOVA,TRENTO,2
PALERMO,ROMA La Sapienza,2
PARMA,ROMA La Sapienza,2
PARMA,TRENTO,2
PAVIA,Politecnico di MILANO,2
PAVIA,SASSARI,2
PISA,ROMA La Sapienza,2
PISA,Seconda Univ. NAPOLI,2
Politecnico di MILANO,ROMA Tor Vergata,2
ROMA La Sapienza,Scuola Superiore Sant'Anna,2
ROMA La Sapienza,Univ. Telematica Internazionale UNINETTUNO,2
ROMA Tor Vergata,ROMA TRE,2
SALERNO,Univ. Telematica UNITELMA SAPIENZA,2
Scuola Superiore Sant'Anna,SIENA,2
SIENA,Univ. Telematica Internazionale UNINETTUNO,1
LIUC - CASTELLANZA,SALENTO,1
Libera UniversitÃ  di BOLZANO,UDINE,1
Libera UniversitÃ  di BOLZANO,SALERNO,1
INSUBRIA,Univ. Campus Bio-Medico di ROMA,1
PADOVA,ROMA Tor Vergata,1
SIENA,Univ. Telematica PEGASO,1
INSUBRIA,Seconda Univ. NAPOLI,1
INSUBRIA,SANNIO di BENEVENTO,1
INSUBRIA,SALENTO,1
INSUBRIA,Politecnico di TORINO,1
PALERMO,PARMA,1
GENOVA,PAVIA,1
PALERMO,Politecnico di MILANO,1
PALERMO,Politecnico di TORINO,1
Stranieri di PERUGIA,Univ. Telematica GUGLIELMO MARCONI,1
PALERMO,SALENTO,1
PALERMO,TRIESTE,1
GENOVA,MILANO-BICOCCA,1
FIRENZE,Scuola Superiore Sant'Anna,1
PARMA,Politecnica delle MARCHE,1
FIRENZE,ROMA Tor Vergata,1
FIRENZE,ROMA La Sapienza,1
Stranieri di PERUGIA,Univ. Telematica Internazionale UNINETTUNO,1
FIRENZE,Politecnico di MILANO,1
FIRENZE,MILANO,1
Stranieri di PERUGIA,Univ. Telematica PEGASO,1
della CALABRIA,TRENTO,1
Parthenope di NAPOLI,Univ. Campus Bio-Medico di ROMA,1
TRENTO,TRIESTE,1
PAVIA,ROMA Tor Vergata,1
della CALABRIA,Scuola Superiore Sant'Anna,1
BERGAMO,CAGLIARI,1
della CALABRIA,SALERNO,1
della CALABRIA,SALENTO,1
della CALABRIA,PAVIA,1
della CALABRIA,PADOVA,1
della CALABRIA,MODENA e REGGIO EMILIA,1
CATANZARO,TRENTO,1
TRENTO,UDINE,1
CATANZARO,Seconda Univ. NAPOLI,1
CATANZARO,SALENTO,1
BERGAMO,BRESCIA,1
CATANZARO,PAVIA,1
PISA,Stranieri di PERUGIA,1
CATANZARO,PADOVA,1
PISA,UKE - UniversitÃ  Kore di ENNA,1
CATANIA,Scuola Superiore Sant'Anna,1
PISA,Univ. Telematica GUGLIELMO MARCONI,1
PISA,Univ. Telematica Internazionale UNINETTUNO,1
PISA,Univ. Telematica PEGASO,1
Politecnica delle MARCHE,Politecnico di MILANO,1
Politecnica delle MARCHE,SALENTO,1
Politecnica delle MARCHE,Scuola Superiore Sant'Anna,1
CATANIA,Politecnico di BARI,1
Politecnica delle MARCHE,TRIESTE,1
CATANIA,PISA,1
Politecnico di BARI,ROMA TRE,1
CAMERINO,MILANO-BICOCCA,1
CAGLIARI,VERONA,1
CAGLIARI,Politecnico di MILANO,1
BARI,PARMA,1
CAGLIARI,PAVIA,1
CAGLIARI,MODENA e REGGIO EMILIA,1
CAGLIARI,MILANO,1
Politecnico di MILANO,Scuola Superiore Sant'Anna,1
Politecnico di MILANO,Seconda Univ. NAPOLI,1
Ca' Foscari VENEZIA,Politecnico di BARI,1
BRESCIA,Univ. Telematica PEGASO,1
Politecnico di MILANO,Univ. Telematica UNITELMA SAPIENZA,1
BRESCIA,Univ. Telematica Internazionale UNINETTUNO,1
Politecnico di TORINO,ROMA TRE,1
BRESCIA,Univ. Telematica GUGLIELMO MARCONI,1
BRESCIA,Stranieri di PERUGIA,1
Politecnico di TORINO,Scuola Superiore Sant'Anna,1
BRESCIA,SIENA,1
BRESCIA,SANNIO di BENEVENTO,1
Politecnico di TORINO,UKE - UniversitÃ  Kore di ENNA,1
BRESCIA,PISA,1
BRESCIA,PARMA,1
BRESCIA,MILANO,1
BRESCIA,CAGLIARI,1
ROMA La Sapienza,SALENTO,1
ROMA La Sapienza,SANNIO di BENEVENTO,1
BARI,Libera UniversitÃ  di BOLZANO,1
ROMA La Sapienza,SIENA,1
ROMA La Sapienza,Stranieri di PERUGIA,1
BOLOGNA,VERONA,1
ROMA La Sapienza,TRIESTE,1
BOLOGNA,Univ. Telematica PEGASO,1
BOLOGNA,Univ. Telematica Internazionale UNINETTUNO,1
BOLOGNA,Univ. Telematica GUGLIELMO MARCONI,1
BARI,della CALABRIA,1
ROMA La Sapienza,Univ. Telematica PEGASO,1
Univ. Telematica GUGLIELMO MARCONI,Univ. Telematica Internazionale UNINETTUNO,1
BOLOGNA,Stranieri di PERUGIA,1
BOLOGNA,SIENA,1
BOLOGNA,SANNIO di BENEVENTO,1
ROMA TRE,SALENTO,1
ROMA TRE,SALERNO,1
ROMA TRE,TRENTO,1
SALENTO,Univ. Telematica UNITELMA SAPIENZA,1
SALENTO,VERONA,1
BOLOGNA,Politecnico di TORINO,1
BOLOGNA,PISA,1
Univ. Telematica GUGLIELMO MARCONI,Univ. Telematica PEGASO,1
BOLOGNA,MILANO,1
SANNIO di BENEVENTO,SIENA,1
SANNIO di BENEVENTO,Stranieri di PERUGIA,1
BOLOGNA,BRESCIA,1
BERGAMO,Univ. Campus Bio-Medico di ROMA,1
SANNIO di BENEVENTO,Univ. Telematica GUGLIELMO MARCONI,1
SANNIO di BENEVENTO,Univ. Telematica Internazionale UNINETTUNO,1
SANNIO di BENEVENTO,Univ. Telematica PEGASO,1
BERGAMO,Politecnico di BARI,1
BERGAMO,PARMA,1
Univ. Telematica Internazionale UNINETTUNO,Univ. Telematica PEGASO,1
BERGAMO,PADOVA,1
BERGAMO,INSUBRIA,1
SIENA,Stranieri di PERUGIA,1
MODENA e REGGIO EMILIA,VERONA,1
MODENA e REGGIO EMILIA,Univ. Campus Bio-Medico di ROMA,1
MODENA e REGGIO EMILIA,UDINE,1
MODENA e REGGIO EMILIA,Seconda Univ. NAPOLI,1
MODENA e REGGIO EMILIA,ROMA TRE,1
NAPOLI Federico II,PISA,1
MILANO-BICOCCA,Scuola Superiore Sant'Anna,1
MILANO-BICOCCA,ROMA Tor Vergata,1
SIENA,Univ. Telematica GUGLIELMO MARCONI,1
NAPOLI Federico II,ROMA Tor Vergata,1
MILANO-BICOCCA,Politecnico di TORINO,1
MESSINA,ROMA La Sapienza,1
NAPOLI Federico II,SASSARI,1
MESSINA,MODENA e REGGIO EMILIA,1
Mediterranea di REGGIO CALABRIA,Politecnico di BARI,1
Mediterranea di REGGIO CALABRIA,Parthenope di NAPOLI,1
